business_day,trips_count,monday,tuesday,wednesday,thursday,friday,saturday,sunday,public_holiday,school_holiday,season_winter,season_spring,season_summer,season_autumn,zerotosix,sixtotwelve,twelvetoeighteen,eighteentozero,rain,fog,snow,cloudy,partly_cloudy,clear,avg_temp,avg_windspeed,avg_humidity,avg_visibility,num_row
2014-01-15,376,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,5.88,7.5,84.2,14.06,1
2014-01-15,6315,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,4.88,7.88,91.41,4.2,2
2014-01-15,7436,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,6.26,11.56,76.97,13.0,3
2014-01-15,7503,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,3.8,2.53,85.6,11.33,4
2014-01-16,443,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,4.42,8.97,80.21,9.33,5
2014-01-16,5514,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,2.44,7.52,67.56,16.0,6
2014-01-16,6858,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,3.65,12.4,68.66,16.0,7
2014-01-16,7138,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,3.9,14.56,74.93,16.0,8
2014-01-17,450,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1.7,7.47,64.62,16.0,9
2014-01-17,5002,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,4.37,4.33,53.74,16.0,10
2014-01-17,6914,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2.18,14.8,51.77,16.0,11
2014-01-17,7935,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,6.3,13.65,49.95,16.0,12
2014-01-18,625,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,3.72,9.04,66.54,14.4,13
2014-01-18,1731,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,3.23,13.6,82.33,8.67,14
2014-01-18,2191,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,-0.74,26.68,60.92,16.0,15
2014-01-18,4891,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,2.55,29.6,61.68,16.0,16
2014-01-19,403,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,-2.7,20.38,65.24,16.0,17
2014-01-19,1830,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,-3.62,18.46,58.4,16.0,18
2014-01-19,2137,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2.3,22.3,49.37,16.0,19
2014-01-19,4658,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0.43,24.77,47.64,16.0,20
2014-01-20,309,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2.73,19.7,48.54,16.0,21
2014-01-20,3342,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,3.56,17.68,52.39,16.0,22
2014-01-20,3544,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,2.33,21.6,57.02,16.0,23
2014-01-20,6212,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,6.47,32.1,43.03,16.0,24
2014-01-21,264,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,-1.25,21.6,43.5,16.0,25
